Number of Prey,Control,Avoidance_Behavior,Attraction_Behavior,Freeze_Behavior
5,6.005,12.967,6.469,6.039
5,23.659,24.256,3.927,5.112
5,0.196,22.175,6.006,4.093
10,5.71,13.299,3.333,13.86
10,5.543,20.89,2.013,11.415
10,8.514,16.534,4.454,8.58
15,20.922,26.697,4.818,12.936
15,8.878,24.585,8.151,4.354
15,3.545,41.843,7.724,5.973
20,9.406,22.176,3.136,9.93
20,9.406,18.151,7.4457,13.99
20,16.369,24.585,4.918,9.766
25,12.375,19.965,10.228,9.9
25,14.486,28.414,10.627,21.349
25,24.189,21.25,6.237,12.64
30,12.903,23.397,7.986,16.401
30,12.117,25.674,9.105,11.154
30,12.574,21.35,2.476,12.64
35,15.179,27.95,5.313,17.918
35,14.157,21.452,5.84,13.395
35,13.164,35.739,8.515,12.969
40,14.288,36.136,12.11,18.017
40,7.127,35.344,7.984,20.394
40,20.625,18.679,12.901,11.319
45,10.891,18.611,7.656,20.195
45,22.803,22.473,4.621,13.826
45,15.476,35.807,6.699,12.603
50,17.688,30.296,7.658,14.849
50,13.43,22.24,3.927,17.855
50,10.199,24.255,6.997,14.948
55,15.61,24.749,9.737,13.76
55,8.845,37.844,6.962,14.058
55,20.921,37.354,10.33,20.031
60,19.7,43.957,11.122,20.625
60,12.704,38.444,7.127,21.613
60,11.383,34.482,6.763,12.54
65,11.254,27.523,8.218,19.503
65,16.006,25.343,9.57,11.715
65,12.802,24.551,16.136,14.125
70,14.289,52.074,10.624,14.221
70,14.519,23.562,8.714,24.486
70,20.987,47.059,8.547,20.79
75,13.531,26.002,8.975,21.122
75,19.071,31.581,12.937,23.2
75,17.557,44.816,19.4649,21.019
80,18.38,26.961,12.145,12.803
80,15.973,29.169,10.033,16.568
80,29.766,56.492,10.725,20.359
85,17.127,25.015,8.942,11.881
85,19.833,29.502,11.582,10.229
85,20.327,24.253,14.51,17.226
90,17.029,45.733,10.528,12.473
90,21.021,26.07,10.495,32.241
90,16.733,34.683,7.624,15.742
95,23.991,30.277,11.815,15.247
95,27.126,30.129,8.746,16.468
95,27.489,55.736,11.848,14.255
100,13.859,28.478,9.538,18.779
100,23.43,35.707,7.327,22.9
100,34.221,43.425,7.886,13.464
